date,code,close,open,high,low,volume
2022-03-29,sh000300,4134.144,4155.418,4177.213,4124.718,10026697200.0
2022-03-30,sh000300,4254.099,4162.167,4254.099,4160.735,13834602400.0
2022-03-31,sh000300,4222.597,4234.716,4247.36,4214.535,13402918500.0
2022-04-01,sh000300,4276.158,4198.819,4290.671,4190.084,13380305300.0
2022-04-06,sh000300,4263.841,4258.833,4277.524,4236.728,15906219500.0
2022-04-07,sh000300,4209.1,4240.024,4278.113,4205.743,13488035300.0
2022-04-08,sh000300,4230.767,4213.211,4237.813,4175.529,14284379300.0
2022-04-11,sh000300,4100.07,4203.79,4203.79,4089.093,14819707100.0
2022-04-12,sh000300,4179.973,4102.971,4179.973,4075.796,14428568400.0
2022-04-13,sh000300,4139.737,4154.412,4194.037,4139.737,12509748900.0
2022-04-14,sh000300,4191.568,4172.644,4217.061,4155.551,12479131600.0
2022-04-15,sh000300,4188.747,4162.372,4211.317,4152.974,12476226300.0
2022-04-18,sh000300,4166.384,4152.931,4171.743,4119.994,11750461000.0
2022-04-19,sh000300,4134.902,4161.933,4186.939,4115.418,11021747100.0
2022-04-20,sh000300,4070.789,4130.543,4136.166,4060.504,11733165800.0
2022-04-21,sh000300,3995.83,4048.734,4086.439,3978.367,13278382800.0
2022-04-22,sh000300,4013.25,3967.202,4037.084,3953.722,12210181100.0
2022-04-25,sh000300,3814.913,3933.446,3958.21,3814.913,16836450200.0
2022-04-26,sh000300,3784.12,3822.489,3871.85,3773.899,15757761100.0
2022-04-27,sh000300,3895.536,3758.084,3895.731,3757.086,17273404600.0
2022-04-28,sh000300,3921.107,3883.42,3943.435,3873.578,15305658600.0
2022-04-29,sh000300,4016.241,3939.624,4017.428,3898.57,17945837700.0
2022-05-05,sh000300,4010.21,3995.353,4039.7,3988.931,15417071600.0
2022-05-06,sh000300,3908.815,3928.855,3947.238,3902.051,12300555100.0
2022-05-09,sh000300,3877.436,3883.951,3914.112,3854.935,9293669400.0
2022-05-10,sh000300,3919.868,3820.628,3932.682,3808.57,13641691800.0
2022-05-11,sh000300,3976.423,3917.932,4033.303,3916.525,16563225600.0
2022-05-12,sh000300,3958.74,3949.949,3985.927,3935.589,11337606600.0
2022-05-13,sh000300,3988.6,3983.82,4003.854,3957.139,10996835700.0
2022-05-16,sh000300,3956.538,4014.996,4018.028,3947.746,11242529400.0
2022-05-17,sh000300,4005.893,3961.761,4005.893,3955.102,10966145400.0
2022-05-18,sh000300,3991.907,4015.013,4017.341,3964.75,10807423300.0
2022-05-19,sh000300,3999.598,3938.296,3999.598,3933.745,11629342000.0
2022-05-20,sh000300,4077.6,4020.816,4077.602,4020.816,14706917300.0
2022-05-23,sh000300,4053.982,4080.969,4080.969,4029.085,13047781000.0
2022-05-24,sh000300,3959.154,4052.868,4055.783,3959.154,14555433600.0
2022-05-25,sh000300,3983.178,3959.767,3983.624,3946.808,10773401500.0
2022-05-26,sh000300,3993.045,3987.682,4015.747,3938.239,12626368900.0
2022-05-27,sh000300,4001.299,4022.71,4051.143,3983.384,11276933700.0
